nspname,typname,oid,typarray,typelem,typlen,typtype
pg_catalog,bool,16,1000,0,1,b
pg_catalog,bytea,17,1001,0,-1,b
pg_catalog,char,18,1002,0,1,b
pg_catalog,name,19,1003,18,64,b
pg_catalog,int8,20,1016,0,8,b
pg_catalog,int2,21,1005,0,2,b
pg_catalog,int2vector,22,1006,21,-1,b
pg_catalog,int4,23,1007,0,4,b
pg_catalog,regproc,24,1008,0,4,b
pg_catalog,text,25,1009,0,-1,b
pg_catalog,oid,26,1028,0,4,b
pg_catalog,tid,27,1010,0,6,b
pg_catalog,xid,28,1011,0,4,b
pg_catalog,cid,29,1012,0,4,b
pg_catalog,oidvector,30,1013,26,-1,b
pg_catalog,pg_ddl_command,32,0,0,8,p
pg_catalog,json,114,199,0,-1,b
pg_catalog,xml,142,143,0,-1,b
pg_catalog,_xml,143,0,142,-1,b
pg_catalog,pg_node_tree,194,0,0,-1,b
pg_catalog,_json,199,0,114,-1,b
pg_catalog,_pg_type,210,0,71,-1,b
pg_catalog,table_am_handler,269,0,0,4,p
pg_catalog,_pg_attribute,270,0,75,-1,b
pg_catalog,_xid8,271,0,5069,-1,b
pg_catalog,_pg_proc,272,0,81,-1,b
pg_catalog,_pg_class,273,0,83,-1,b
pg_catalog,index_am_handler,325,0,0,4,p
pg_catalog,point,600,1017,701,16,b
pg_catalog,lseg,601,1018,600,32,b
pg_catalog,path,602,1019,0,-1,b
pg_catalog,box,603,1020,600,32,b
pg_catalog,polygon,604,1027,0,-1,b
pg_catalog,line,628,629,701,24,b
pg_catalog,_line,629,0,628,-1,b
pg_catalog,cidr,650,651,0,-1,b
pg_catalog,_cidr,651,0,650,-1,b
pg_catalog,float4,700,1021,0,4,b
pg_catalog,float8,701,1022,0,8,b
pg_catalog,unknown,705,0,0,-2,p
pg_catalog,circle,718,719,0,24,b
pg_catalog,_circle,719,0,718,-1,b
pg_catalog,macaddr8,774,775,0,8,b
pg_catalog,_macaddr8,775,0,774,-1,b
pg_catalog,money,790,791,0,8,b
pg_catalog,_money,791,0,790,-1,b
pg_catalog,macaddr,829,1040,0,6,b
pg_catalog,inet,869,1041,0,-1,b
pg_catalog,_bool,1000,0,16,-1,b
pg_catalog,_bytea,1001,0,17,-1,b
pg_catalog,_char,1002,0,18,-1,b
pg_catalog,_name,1003,0,19,-1,b
pg_catalog,_int2,1005,0,21,-1,b
pg_catalog,_int2vector,1006,0,22,-1,b
pg_catalog,_int4,1007,0,23,-1,b
pg_catalog,_regproc,1008,0,24,-1,b
pg_catalog,_text,1009,0,25,-1,b
pg_catalog,_tid,1010,0,27,-1,b
pg_catalog,_xid,1011,0,28,-1,b
pg_catalog,_cid,1012,0,29,-1,b
pg_catalog,_oidvector,1013,0,30,-1,b
pg_catalog,_bpchar,1014,0,1042,-1,b
pg_catalog,_varchar,1015,0,1043,-1,b
pg_catalog,_int8,1016,0,20,-1,b
pg_catalog,_point,1017,0,600,-1,b
pg_catalog,_lseg,1018,0,601,-1,b
pg_catalog,_path,1019,0,602,-1,b
pg_catalog,_box,1020,0,603,-1,b
pg_catalog,_float4,1021,0,700,-1,b
pg_catalog,_float8,1022,0,701,-1,b
pg_catalog,_polygon,1027,0,604,-1,b
pg_catalog,_oid,1028,0,26,-1,b
pg_catalog,aclitem,1033,1034,0,12,b
pg_catalog,_aclitem,1034,0,1033,-1,b
pg_catalog,_macaddr,1040,0,829,-1,b
pg_catalog,_inet,1041,0,869,-1,b
pg_catalog,bpchar,1042,1014,0,-1,b
pg_catalog,varchar,1043,1015,0,-1,b
pg_catalog,date,1082,1182,0,4,b
pg_catalog,time,1083,1183,0,8,b
pg_catalog,timestamp,1114,1115,0,8,b
pg_catalog,_timestamp,1115,0,1114,-1,b
pg_catalog,_date,1182,0,1082,-1,b
pg_catalog,_time,1183,0,1083,-1,b
pg_catalog,timestamptz,1184,1185,0,8,b
pg_catalog,_timestamptz,1185,0,1184,-1,b
pg_catalog,interval,1186,1187,0,16,b
pg_catalog,_interval,1187,0,1186,-1,b
pg_catalog,_numeric,1231,0,1700,-1,b
pg_catalog,_cstring,1263,0,2275,-1,b
pg_catalog,timetz,1266,1270,0,12,b
pg_catalog,_timetz,1270,0,1266,-1,b
pg_catalog,bit,1560,1561,0,-1,b
pg_catalog,_bit,1561,0,1560,-1,b
pg_catalog,varbit,1562,1563,0,-1,b
pg_catalog,_varbit,1563,0,1562,-1,b
pg_catalog,numeric,1700,1231,0,-1,b
pg_catalog,refcursor,1790,2201,0,-1,b
pg_catalog,_refcursor,2201,0,1790,-1,b
pg_catalog,regprocedure,2202,2207,0,4,b
pg_catalog,regoper,2203,2208,0,4,b
pg_catalog,regoperator,2204,2209,0,4,b
pg_catalog,regclass,2205,2210,0,4,b
pg_catalog,regtype,2206,2211,0,4,b
pg_catalog,_regprocedure,2207,0,2202,-1,b
pg_catalog,_regoper,2208,0,2203,-1,b
pg_catalog,_regoperator,2209,0,2204,-1,b
pg_catalog,_regclass,2210,0,2205,-1,b
pg_catalog,_regtype,2211,0,2206,-1,b
pg_catalog,record,2249,2287,0,-1,p
pg_catalog,cstring,2275,1263,0,-2,p
pg_catalog,any,2276,0,0,4,p
pg_catalog,anyarray,2277,0,0,-1,p
pg_catalog,void,2278,0,0,4,p
pg_catalog,trigger,2279,0,0,4,p
pg_catalog,language_handler,2280,0,0,4,p
pg_catalog,internal,2281,0,0,8,p
pg_catalog,anyelement,2283,0,0,4,p
pg_catalog,_record,2287,0,2249,-1,p
pg_catalog,anynonarray,2776,0,0,4,p
pg_catalog,_txid_snapshot,2949,0,2970,-1,b
pg_catalog,uuid,2950,2951,0,16,b
pg_catalog,_uuid,2951,0,2950,-1,b
pg_catalog,txid_snapshot,2970,2949,0,-1,b
pg_catalog,fdw_handler,3115,0,0,4,p
pg_catalog,pg_lsn,3220,3221,0,8,b
pg_catalog,_pg_lsn,3221,0,3220,-1,b
pg_catalog,tsm_handler,3310,0,0,4,p
pg_catalog,pg_ndistinct,3361,0,0,-1,b
pg_catalog,pg_dependencies,3402,0,0,-1,b
pg_catalog,anyenum,3500,0,0,4,p
pg_catalog,tsvector,3614,3643,0,-1,b
pg_catalog,tsquery,3615,3645,0,-1,b
pg_catalog,gtsvector,3642,3644,0,-1,b
pg_catalog,_tsvector,3643,0,3614,-1,b
pg_catalog,_gtsvector,3644,0,3642,-1,b
pg_catalog,_tsquery,3645,0,3615,-1,b
pg_catalog,regconfig,3734,3735,0,4,b
pg_catalog,_regconfig,3735,0,3734,-1,b
pg_catalog,regdictionary,3769,3770,0,4,b
pg_catalog,_regdictionary,3770,0,3769,-1,b
pg_catalog,jsonb,3802,3807,0,-1,b
pg_catalog,_jsonb,3807,0,3802,-1,b
pg_catalog,anyrange,3831,0,0,-1,p
pg_catalog,event_trigger,3838,0,0,4,p
pg_catalog,int4range,3904,3905,0,-1,r
pg_catalog,_int4range,3905,0,3904,-1,b
